一个	1899294
位于	1261241
以及	1009858
日本	951954
美国	930081
参考文献	925268
因为	913116
中国	904800
可以	903909
包括	863422
成为	857058
开始	822434
但是	821154
台湾	811306
就是	806145
之后	802297
这个	788526
香港	782648
其中	778899
使用	769936
进行	754338
所以	748304
他们	735589
人口	686483
因此	682596
车站	666717
作为	650598
由于	650344
自己	647502
没有	633613
也是	627525
公司	621193
这些	599098
如果	594458
法国	594241
通过	585311
当时	574809
主要	569292
我们	568232
同时	567950
其他	556338
地区	553908
市镇	550540
一些	548090
都是	540032
之一	533805
平方公里	528820
国家	526099
中的	522060
的时候	520910
后来	505962
历史	505296
担任	496300
电影	495435
认为	493160
作品	488376
最后	488305
还是	483736
根据	480897
他的	475330
对于	474018
工作	470968
游戏	460448
需要	455225
之间	452309
这种	451529
虽然	446915
大学	437883
获得	435339
现在	428862
表示	424742
部分	423979
属于	422811
或者	417862
政府	415818
设计	409139
英国	407902
研究	407137
期间	404243
代表	402046
已经	395168
一种	393181
年代	389241
所有	389230
影响	387184
还有	387167
而且	385495
不过	382307
公里	378768
负责	378223
可能	378057
很多	377900
目前	374759
发现	372018
然后	368937
面积	358532
并且	358380
计划	354269
成员	352832
成立	352183
进入	351205
世界	349923
发展	349390
时期	349264
只有	348063
提供	334513
时间	332505
方式	332303
一般	331570
饰演	330745
要求	329547
例如	328911
最终	327036
问题	326122
正式	321397
选择	320083
另外	319658
除了	316574
世纪	315260
拥有	314600
学生	313621
许多	313609
两个	313269
学校	312110
事件	309881
出现	309352
组织	305029
活动	304960
铁路	304864
德国	304402
然而	304099
比如	301251
中心	299973
内容	299817
为了	299759
以下	299115
参加	298934
下辖	298323
决定	296384
一样	295956
文化	293952
国际	293036
直接	291864
学习	291044
不同	289414
导致	289216
甚至	286329
之前	285687
宣布	285248
建筑	285147
服务	283499
支持	282198
同年	281280
结果	279060
政治	277966
其实	275579
关于	275413
不是	273847
城市	272934
加入	271570
存在	271227
连结	268356
专辑	268050
系统	267312
那么	265791
的话	264981
发行	263695
生平	262350
列车	261533
外部	260006
组成	259599
比赛	258962
中华人民共和国	257361
前往	256850
项目	256186
于是	255236
技术	252294
来自	251862
称为	251287
能力	250946
学名	250903
各种	249793
具有	249732
完成	249409
产品	248829
方面	248402
制作	245997
能够	243122
继续	242469
举行	241810
运动	241217
专业	240516
个人	239880
此外	238283
也有	238187
设有	237421
学院	235738
成功	235223
委员会	233872
附近	233567
第一	233273
出版	233164
独立	231490
相关	230903
以上	230811
年间	230203
经过	230013
最大	229896
比较	229494
造成	229468
产生	229453
节目	229196
父亲	228257
超过	226279
歌曲	225000
变化	224348
受到	223656
无法	223284
采用	222605
形成	221686
数据	220829
生活	220495
首次	219897
版本	219229
人口密度	218560
中华民国	218423
全国	218019
系列	217447
通常	217322
只是	216006
上海	215940
冠军	215197
欧洲	214836
非常	214684
人类	213918
韩国	212053
人物	211915
女性	210784
他在	209905
有关	209738
一直	209499
参与	209085
管辖	207017
结构	206199
第二	204457
位置	204415
合作	203736
演出	203557
发生	203331
建立	202895
来说	202704
当地	201341
提出	199831
俄罗斯	199272
功能	199234
管理	198868
演员	198248
利用	197515
以后	197227
列表	196428
语言	196220
方向	195917
音乐	195778
名称	195741
完全	195379
任何	195248
中央	195069
该国	195005
时代	194969
路线	194713
关系	194518
改为	194421
球队	193928
最高	193900
玩家	193887
故事	193755
阅读	193648
建议	193424
直到	193234
地方	192999
教育	192372
当然	191365
教授	191154
我的	190959
区域	190264
希望	188754
导演	188490
动画	188288
基本	187811
联盟	187416
工程	186917
看到	186737
一起	186228
特别	185671
这样	185535
电视剧	184785
一部分	184254
小行星	182347
战争	181997
机场	181350
大家	181212
距离	180263
东西	180243
得到	180196
标准	179909
共有	179785
接受	178252
等等	177172
不能	176986
随后	176354
军队	176257
增加	175899
设立	175780
家族	174783
企业	174549
